,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,District,Area,Shopid,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins,popular,MetroStation
1855,12,0,3,0,0,0,31.24444,121.45495,3,17,53460157,0,0,0,0,0,0,0,0,0,6,0,0,0
1867,0,0,3,0,0,0,31.165,121.34,12,17,54031947,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,12,0,1,0,0,0,31.1808,121.3926,12,17,55022713,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,17,0,2,0,0,0,31.18856,121.49247,6,8,55758717,0,0,0,0,0,0,0,0,0,6,0,0,0
1896,14,0,3,0,0,0,31.27062,121.44311,3,17,56170094,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,0,0,1,0,0,0,0,0,6,17,56415463,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,15,0,0,0,9,0,31.10382,121.39599,12,5,56534348,0,0,0,0,0,0,0,0,0,19,0,0,0
1901,12,0,2,0,0,0,31.25074,121.48471,9,17,56535814,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,16,0,2,0,0,0,31.26602,121.49198,9,17,56535908,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,23,0,2,0,0,0,31.18191,121.30164,8,17,56574878,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,13,0,3,0,0,0,31.3561,121.38214,2,17,56580991,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,11,0,1,0,0,0,31.2534,121.58279,6,17,56586473,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,11,0,1,0,0,0,31.23727,121.499,6,14,56586976,0,0,0,0,0,0,0,0,0,1,0,0,0
1907,5,0,1,0,0,0,31.24003,121.50917,6,14,56624858,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,12,0,1,0,0,0,0,0,4,17,56632360,0,0,0,0,0,0,0,0,0,2,0,0,0
1910,3,0,3,0,0,0,31.18093,121.36674,12,17,56787374,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,1,0,3,0,0,0,31.2751,121.25056,1,17,56789638,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,2,0,1,0,0,0,31.20103,121.39335,5,15,56794637,0,0,0,0,0,0,0,0,0,6,0,0,0
1913,23,0,3,0,0,0,31.0462,121.16099,17,17,56871486,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,14,0,3,0,0,0,31.02171,121.51403,12,17,56888062,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,11,0,3,0,0,0,30.84883,121.34036,14,17,56908599,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,12,0,3,0,0,0,30.84887,121.34052,14,17,56930559,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,15,0,3,0,0,0,30.9135,121.47874,13,17,56945548,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,9,0,3,0,0,0,31.14023,121.29399,17,17,57012024,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,12,0,1,0,7,0,0,0,12,17,57043551,0,0,0,0,0,0,0,0,0,5,0,0,0
1922,12,0,3,0,0,0,31.29854,121.51643,16,17,57066088,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,10,0,3,0,0,0,31.23071,121.47292,15,17,57070212,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,2,0,1,0,0,0,31.21167,121.40196,5,17,57087743,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,16,0,2,0,0,0,0,0,8,17,57094966,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,13,0,1,0,0,0,0,0,6,17,57095182,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,11,0,1,0,0,0,0,0,6,17,57112064,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,15,0,1,0,0,0,31.26384,121.62134,6,17,57113825,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,11,0,1,0,0,0,30.98628,121.75642,6,17,57119012,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,10,0,3,0,0,0,31.23649,121.47622,15,17,57119671,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,11,0,1,0,0,0,31.22339,121.34556,5,17,57134398,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,16,0,2,0,0,0,31.19619,121.43201,7,1,57147076,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,8,0,2,0,0,0,31.26278,121.39229,4,17,57153919,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,12,0,3,0,0,0,31.27099,121.55654,16,17,57168956,0,0,0,0,0,0,0,0,0,4,0,0,0
1937,12,0,3,0,0,0,30.89381,121.23888,14,17,57169334,0,0,0,0,0,0,0,0,0,1,0,0,0
1938,12,0,3,0,0,0,31.14795,121.37839,12,17,57170501,0,0,0,0,0,0,0,0,0,1,0,0,0
