,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,Shopid,District,Area,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins
256,10,0,0,0,0,0,40.05755,116.32899,17077914,10,17,0,0,0,0,0,0,0,0,0,0,0
257,12,0,3,0,0,0,40.21237,116.59398,17094294,8,17,0,0,0,0,0,0,0,0,0,0,0
258,9,0,3,0,0,0,39.76138,116.69394,17095517,9,17,0,0,0,0,0,0,0,0,0,0,0
259,13,0,3,0,0,0,40.37467,116.84593,17096272,19,17,0,0,0,0,0,0,0,0,0,0,0
260,9,0,3,0,0,0,39.85514,116.64855,17100223,9,17,0,0,0,0,0,0,0,0,0,0,0
261,13,0,3,0,0,0,39.75977,116.45844,17114965,7,17,0,0,0,0,0,0,0,0,0,0,0
262,12,0,3,0,0,0,40.21268,116.5995,17127413,8,17,0,0,0,0,0,0,0,0,0,0,0
263,12,0,3,0,0,0,40.21222,116.59946,17127414,8,17,0,0,0,0,0,0,0,0,0,0,0
264,13,0,3,0,0,0,39.72722,116.33237,17138182,7,17,0,0,0,0,0,0,0,0,0,0,0
265,12,0,3,0,0,0,39.76619,116.45198,17144124,7,17,0,0,0,0,0,0,0,0,0,3,0
266,13,1,3,0,0,0,40.12806,116.65168,17187582,8,17,0,0,0,0,0,0,0,0,0,29,0
267,12,0,0,0,0,0,39.85611,116.28346,17189375,5,17,0,0,0,0,0,0,0,0,0,6,0
268,12,0,3,0,0,0,40.13115,116.65128,17198254,8,17,0,0,0,0,0,0,0,0,0,15,0
269,12,0,3,0,0,0,40.05623,116.6147,17251789,4,17,0,0,0,0,0,0,0,0,0,0,0
270,13,0,3,0,0,0,40.38208,116.86744,17283945,17,17,0,0,0,0,0,0,0,0,0,0,0
271,0,0,3,0,0,0,39.64956,116.06949,17349553,15,17,0,0,0,0,0,0,0,0,0,7,0
272,12,0,3,0,0,0,39.68278,116.14776,17481767,8,17,0,0,0,0,0,0,0,0,0,0,0
273,15,0,0,0,0,0,40.01135,116.56882,17531021,4,17,0,0,0,0,0,0,0,0,0,0,0
274,12,0,3,0,0,0,39.60039,116.02819,17542658,8,17,0,0,0,0,0,0,0,0,0,0,0
279,11,0,3,0,0,0,39.71176,116.06262,17554400,15,17,0,0,0,0,0,0,0,0,0,0,0
280,13,0,3,0,0,0,0,0,17569427,17,17,0,0,0,0,0,0,0,0,0,0,0
281,11,0,0,0,0,0,39.80181,116.42355,17591370,5,17,0,0,0,0,0,0,0,0,0,0,0
285,13,0,3,0,0,0,40.3744,116.84594,17644370,19,17,0,0,0,0,0,0,0,0,0,0,0
336,13,0,0,0,0,0,39.9689,116.371,17701180,1,17,0,0,0,0,0,0,0,0,0,0,0
337,8,0,0,6.9,0,0,39.83345,116.37296,17710878,5,17,0,0,0,0,0,0,0,0,0,2,0
338,24,0,3,7,6.9,7,39.91086,116.37488,17752996,3,1,0,0,0,0,0,0,0,0,0,7,0
339,11,0,3,6.9,7,0,39.98979,116.48216,17779763,4,10,0,0,0,0,0,0,0,0,0,4,0
340,9,0,0,6.9,6.9,6.9,39.90426,116.56816,17813057,4,17,0,0,0,0,0,0,0,0,0,1,0
341,12,0,1,0,0,0,39.92092,116.46288,17817695,4,11,0,0,0,0,0,0,0,0,0,0,0
342,10,0,2,7,7,7,39.84469,116.42662,17858289,5,17,0,0,0,0,0,0,0,0,0,2,0
343,9,0,3,0,0,0,39.8951,116.3256,17873552,3,17,0,0,0,0,0,0,0,0,0,0,0
344,13,0,3,0,0,0,39.9079,116.19032,17891788,6,17,0,0,0,0,0,0,0,0,0,3,0
345,8,0,0,7,7,7,39.85639,116.4031,17894982,5,17,0,0,0,0,0,0,0,0,0,1,0
346,12,0,3,0,0,0,39.93776,116.34105,17940172,3,17,0,0,0,0,0,0,0,0,0,0,0
347,10,0,0,0,0,0,39.96658,116.36982,18018840,1,17,0,0,0,0,0,0,0,0,0,6,0
348,12,0,3,0,0,0,39.93992,116.10111,18106741,12,17,0,0,0,0,0,0,0,0,0,9,0
349,12,0,3,0,0,0,39.92299,116.37851,18230610,1,17,0,0,0,0,0,0,0,0,0,8,0
350,12,1,1,0,0,0,39.91412,116.49123,18285401,4,8,73,11,26,2,4,2,1,27,12,70,24
351,13,0,3,0,0,0,40.05987,116.41627,18318770,10,17,0,0,0,0,0,0,0,0,0,3,0
352,11,1,3,0,0,0,0,0,18323060,4,17,0,0,0,0,0,0,0,0,0,17,0
353,0,0,3,0,0,0,39.69333,115.98753,18349310,15,17,0,0,0,0,0,0,0,0,0,1,0
354,13,0,3,6.9,6.9,6.9,40.06602,116.347,18350171,10,17,0,0,0,0,0,0,0,0,0,1,0
355,13,0,0,0,0,0,39.95817,116.34613,18382149,1,17,0,0,0,0,0,0,0,0,0,0,0
356,12,0,3,9,9,0,39.90932,116.47911,18382675,4,15,65,16,21,4,4,1,1,18,4,22,12
357,24,0,3,7,7,7,0,0,18390835,3,17,0,0,0,0,0,0,0,0,0,2,0
358,16,0,3,0,0,0,0,0,18399695,15,17,0,0,0,0,0,0,0,0,0,6,0
359,13,0,0,0,0,0,40.00289,116.31926,18482369,1,13,0,0,0,0,0,0,0,0,0,0,0
360,13,0,0,0,0,0,40.00289,116.31926,18482376,1,13,0,0,0,0,0,0,0,0,0,0,0
361,9,0,0,0,0,0,39.91514,116.50108,18530203,4,8,0,0,0,0,0,0,0,0,0,0,0
362,16,0,0,0,0,0,39.90839,116.30743,18540876,1,17,0,0,0,0,0,0,0,0,0,0,0
363,10,0,3,6.9,6.9,6.9,39.88953,116.33738,18545609,3,17,0,0,0,0,0,0,0,0,0,1,0
364,10,0,0,0,0,0,0,0,18583776,4,8,0,0,0,0,0,0,0,0,0,0,0
365,10,0,0,6.9,6.9,6.9,39.97981,116.31634,18589934,1,9,79,7,30,5,4,1,0,32,6,1,0
366,11,0,3,0,0,0,39.97181,116.49013,18601334,4,12,0,0,0,0,0,0,0,0,5,2,0
367,13,0,3,0,0,0,0,0,18669342,7,17,0,0,0,0,0,0,0,0,0,1,0
368,10,0,0,0,7,6.9,0,0,18708323,4,17,0,0,0,0,0,0,0,0,0,1,0
374,0,0,0,0,0,0,0,0,18974200,4,7,0,0,0,0,0,0,0,0,0,0,0
377,12,1,3,7,7,7,39.80366,116.34527,19090843,7,17,0,0,0,0,0,0,0,0,0,1,0
378,13,0,0,0,0,0,39.93681,116.30467,19186835,1,17,0,0,0,0,0,0,0,0,0,1,0
379,13,0,3,0,0,0,39.72235,116.33538,19281594,7,17,0,0,0,0,0,0,0,0,0,0,0
380,11,0,0,0,0,0,39.85639,116.40309,19282684,5,17,0,0,0,0,0,0,0,0,0,0,0
381,13,0,0,0,0,0,0,0,19282688,1,17,0,0,0,0,0,0,0,0,0,0,0
382,11,1,3,0,9,0,39.95128,116.54784,19282696,4,17,56,27,6,3,1,1,0,18,1,41,22
